id,name,website,hq_or_states,source_of_name,source_url,source_type,notes,ce_verified_partner,fee_schedule_published,transparency_gate,all_in_eligible,grade_status,nr_flag,exit_flag,grade_v1,grade_v2_score,graded_as_of,grade_notes
triumph-business-capital,Triumph Business Capital,https://triumph.io/solutions/factoring,TX Dallas area,CarrierEdge factoring-index Verified Partner + company site,https://carrieredge.io/factoring-index.html,primary,aka Triumph Financial Services / formerly Advance Business Capital; CE Verified Partner; canonical site triumph.io,Y,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
otr-solutions,OTR Solutions,https://otrsolutions.com/,GA Roswell,CarrierEdge factoring-index Verified Partner (as OTR Capital) + company site,https://carrieredge.io/factoring-index.html,primary,aka OTR Capital (otrcapital.com redirects here); CE Verified Partner,Y,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
porter-freight-funding,Porter Freight Funding,https://porterfreightfunding.com/,,CarrierEdge factoring-index Verified Partner + company site,https://carrieredge.io/factoring-index.html,primary,aka Porter Freight Capital / freight division of Porter Capital; CE Verified Partner,Y,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
rts-financial,RTS Financial,https://rtsinc.com/,KS Overland Park,Seed + company site + listicles,https://rtsinc.com/,primary,Shamrock Trading Corp family; rtsfinancial.com often redirects/frozen — use rtsinc.com,Y,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
thunder-funding,Thunder Funding,https://thunderfunding.com/,,Seed + company site,https://thunderfunding.com/,primary,,Y,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
riviera-finance,Riviera Finance,https://www.rivierafinance.com/,,Seed + company site,https://www.rivierafinance.com/,primary,Founded 1969; national branch network,Y,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
apex-capital,Apex Capital,https://www.apexcapitalcorp.com/,TX Fort Worth,Seed + company site,https://www.apexcapitalcorp.com/,primary,,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
dat-outgo,DAT Outgo,https://outgo.dat.com/,,Seed + company site,https://outgo.dat.com/,primary,aka Outgo by DAT; DAT Freight & Analytics backed,N,Y,pass,Y,Transparency-pass,Unknown,Unknown,Eligible for All-In $ sort when volume inputs present; public fee schedule known. Composite v2 weights deferred until full fee cells sourced.,,2026-09-16,Scout: feeSchedulePublished=Y (public primary). Do not invent All-In $ here — compute in CE engine.
bobtail,Bobtail,https://www.bobtail.com/,,Seed + company site,https://www.bobtail.com/,primary,Fintech factoring,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
tafs,TAFS,https://tafs.com/,KS Olathe,Seed + company site (redirect),https://tafs.com/,primary,aka TransAm Financial Services; tafs.com redirects to eCapital — reportedly absorbed; retain seed row for census continuity,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
